============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Aluminium( 2.66 um) ======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  161  9 .7915681E+07   2684680E-02  .4635E+04  .2028E+03   .9831664  .1825623  .0074084
T  162  9 .8011670E+07   2669356E-02  .4533E+04 -.1426E+03   .9879802  .1541007 -.0121705
T  163  9 .8105859E+07   2671997E-02  .5209E+04  .2636E+03   .9777775  .2092442  .0129649
T  164  9 .7872057E+07   2673693E-02  .4737E+04  .4716E+02   .9846189  .1747098  .0014606
T  165  9 .8128003E+07   2664939E-02  .4469E+04  .1821E+00   .9875352  .1573850  .0020448
T  166  9 .7977775E+07   2672764E-02  .4747E+04 -.9520E+02   .9812960  .1920254 -.0135784
T  167  9 .7925808E+07   2674101E-02  .5284E+04  .2072E+03   .9773095  .2116902  .0073070
T  168  9 .7910348E+07   2686044E-02  .5070E+04  .1781E+03   .9773950  .2109635 -.0139097
T  169  9 .8025946E+07   2660226E-02  .4594E+04 -.4967E+03   .9829220  .1782328 -.0457974
T  170  9 .7706004E+07   2682175E-02  .5012E+04 -.3102E+03   .9796966  .1999926 -.0140542
T  171  9 .7958015E+07   2661649E-02  .4806E+04  .8544E+02   .9829873  .1829883  .0158524
T  172  9 .7971171E+07   2666256E-02  .4719E+04  .1712E+03   .9843253  .1762242 -.0069797
T  173  9 .7923385E+07   2684628E-02  .4531E+04 -.1585E+03   .9851491  .1715246 -.0077767
T  174  9 .7964348E+07   2673243E-02  .4807E+04 -.1387E+03   .9839652  .1774821  .0176786
T  175  9 .7943923E+07   2682120E-02  .4950E+04 -.1835E+02   .9851598  .1708402  .0165461
T  176  9 .7955084E+07   2675759E-02  .4361E+04 -.2929E+03   .9856548  .1685056 -.0095099
T  177  9 .7853966E+07   2676908E-02  .4541E+04 -.2882E+03   .9869040  .1599809 -.0206546
T  178  9 .7974531E+07   2661417E-02  .4940E+04 -.3222E+03   .9842950  .1759742 -.0140143
T  179  9 .7988997E+07   2681226E-02  .4751E+04  .1816E+03   .9844252  .1742094  .0236228
T  180  9 .7922811E+07   2665784E-02  .4380E+04 -.1582E+03   .9794891  .2013562  .0075374
T  181  9 .7999107E+07   2676606E-02  .4222E+04  .7044E+03   .9866527  .1558256  .0472734
T  182  9 .8056281E+07   2676680E-02  .4426E+04 -.1216E+03   .9896370  .1435774  .0020230
T  183  9 .7878482E+07   2686638E-02  .4642E+04  .3367E+03   .9852213  .1711241  .0074539
T  184  9 .4667289E+07   2677803E-02 -.6233E+04  .6599E+04   .8930703 -.3353375  .2999571
T  185  9 .7937725E+07   2680691E-02  .4532E+04 -.1516E+03   .9868097  .1618088 -.0049540
T  186  9 .7994379E+07   2681464E-02  .5171E+04 -.3745E+03   .9796420  .1999027 -.0184503
T  187  9 .8024809E+07   2661061E-02  .4799E+04  .2738E+02   .9798388  .1996179 -.0082883
T  188  9 .8015226E+07   2660849E-02  .4891E+04  .4172E+02   .9841505  .1772621  .0050951
T  189  9 .7941012E+07   2674885E-02  .4726E+04  .3806E+03   .9841014  .1722573  .0432650
T  190  9 .7878857E+07   2678299E-02  .4468E+04 -.1708E+03   .9871419  .1598227 -.0027542
T  191  9 .7939687E+07   2683176E-02  .4401E+04  .8939E+02   .9893963  .1448337  .0108732
T  192  9 .7875735E+07   2664785E-02  .4571E+04  .1208E+03   .9835309  .1805486 -.0083228
T  193  9 .8004988E+07   2676694E-02  .4666E+04 -.2302E+03   .9868739  .1596609 -.0242557
T  194  9 .7959962E+07   2678546E-02  .4756E+04 -.1320E+03   .9820452  .1886459 -.0001039
T  195  9 .8002074E+07   2660474E-02  .4721E+04 -.1501E+03   .9852271  .1710876 -.0075297
T  196  9 .7953899E+07   2662581E-02  .4697E+04 -.2403E+03   .9844914  .1745566 -.0175140
T  197  9 .8026216E+07   2670495E-02  .4440E+04  .3996E+02   .9891053  .1471069  .0054995
T  198  9 .8070535E+07   2677362E-02  .4914E+04  .4724E+03   .9833843  .1799463  .0239701
T  199  9 .7925260E+07   2674066E-02  .4758E+04 -.3434E+02   .9852588  .1702957 -.0162648
T  200  9 .7962706E+07   2669877E-02  .4201E+04 -.1622E+03   .9930956  .1156733 -.0195142
T  201  9 .8057375E+07   2674936E-02  .4816E+04  .7088E+00   .9826668  .1853803  .0002551
T  202  9 .7956841E+07   2669968E-02  .4833E+04 -.1953E+03   .9835822  .1785626 -.0261048
T  203  9 .8062899E+07   2661354E-02  .4702E+04  .3414E+03   .9858669  .1670674  .0124451
T  204  9 .7850381E+07   2674513E-02  .4902E+04  .3842E+01   .9834374  .1804855 -.0166108
T  205  9 .8082769E+07   2665528E-02  .4737E+04 -.3123E+03   .9860596  .1651115 -.0206055
T  206  9 .7929092E+07   2663819E-02  .4547E+04 -.1285E+03   .9842581  .1766527 -.0054508
T  207  9 .7960115E+07   2678806E-02  .4736E+04 -.1550E+03   .9839504  .1781336 -.0104856
T  208  9 .7934602E+07   2674734E-02  .4764E+04  .5765E+02   .9844993  .1753857 -.0009861
T  209  9 .7928887E+07   2663389E-02  .4160E+04 -.2111E+03   .9889848  .1479427  .0046869
T  210  9 .7936198E+07   2685072E-02  .4229E+04 -.6390E+02   .9909478  .1339301  .0092326
T  211  9 .7926056E+07   2671622E-02  .5362E+04  .6123E+03   .9785609  .2044352  .0249950
T  212  9 .7982878E+07   2664498E-02  .4662E+04 -.1213E+03   .9840811  .1776375 -.0054084
T  213  9 .7992154E+07   2661990E-02  .4480E+04 -.1635E+03   .9872012  .1592325 -.0088713
T  214  9 .7841273E+07   2669146E-02  .5230E+04 -.1714E+01   .9805937  .1959811 -.0052370
T  215  9 .7963057E+07   2671984E-02  .4051E+04 -.4780E+03   .9895211  .1437768 -.0132766
T  216  9 .7950511E+07   2684901E-02  .4675E+04  .2527E+03   .9862266  .1648021  .0140464
T  217  9 .7922789E+07   2668171E-02  .4251E+04 -.3576E+03   .9894170  .1439776 -.0180131
T  218  9 .7983205E+07   2680154E-02  .5056E+04  .1599E+02   .9817872  .1899775  .0015688
T  219  9 .7895677E+07   2669905E-02  .3069E+04  .1630E+02   .9940979  .1019571  .0370681
T  220  9 .7900784E+07   2661695E-02  .4948E+04  .1164E+03   .9835991  .1803507 -.0025314
T  221  9 .7975582E+07   2660778E-02  .4272E+04 -.8025E+02   .9902344  .1308765 -.0480331
T  222  9 .8031053E+07   2663684E-02  .4420E+04 -.3735E+03   .9865078  .1612734 -.0281647
T  223  9 .7921998E+07   2665510E-02  .4630E+04 -.7292E+02   .9862877  .1650329 -.0008749
