============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Graphite (carbon)( 2.13 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  160  9 .8299897E+07   2149599E-02  .1930E+04 -.1697E+02   .9960985  .0882102  .0026110
T  161  9 .8371038E+07   2137673E-02  .1871E+04 -.5115E+02   .9960210  .0890780  .0027015
T  162  9 .8340939E+07   2149560E-02  .1790E+04 -.1413E+02   .9969660  .0778299  .0011671
T  163  9 .8215009E+07   2140118E-02  .2006E+04  .1305E+03   .9950595  .0992196  .0034851
T  164  9 .8245670E+07   2146222E-02  .1825E+04 -.3456E+02   .9971468  .0752971 -.0053510
T  165  9 .8268735E+07   2141595E-02  .1928E+04  .1360E+02   .9965136  .0812920 -.0187666
T  166  9 .8375028E+07   2139089E-02  .2002E+04  .2006E+02   .9954166  .0955932  .0027920
T  167  9 .8306774E+07   2137881E-02  .1712E+04 -.2516E+03   .9972552  .0713972 -.0196070
T  168  9 .8218973E+07   2144187E-02  .1944E+04 -.2885E+02   .9959747  .0888863 -.0115555
T  169  9 .8386091E+07   2142627E-02  .1825E+04 -.1963E+02   .9986405  .0521005  .0016134
T  170  9 .8247472E+07   2136806E-02  .2026E+04  .5969E+02   .9950959  .0987510  .0056991
T  171  9 .8272447E+07   2139879E-02  .1992E+04 -.5684E+02   .9954311  .0953515 -.0049941
T  172  9 .8233509E+07   2144347E-02  .1881E+04 -.8436E+02   .9958184  .0910025 -.0080103
T  173  9 .8327827E+07   2142019E-02  .1959E+04 -.1248E+03   .9952541  .0965397 -.0122207
T  174  9 .8234350E+07   2144557E-02  .1886E+04 -.1786E+03   .9957801  .0903938 -.0158443
T  175  9 .8217007E+07   2146297E-02  .1841E+04  .7323E+02   .9964482  .0839383  .0067282
T  176  9 .8284338E+07   2130610E-02  .1853E+04 -.6437E+02   .9957818  .0917489 -.0008773
T  177  9 .8312193E+07   2137837E-02  .1771E+04 -.9967E+02   .9962846  .0859798 -.0049433
T  178  9 .8368445E+07   2140026E-02  .1791E+04 -.4008E+02   .9974560  .0711501 -.0043695
T  179  9 .8320396E+07   2140437E-02  .1698E+04 -.1251E+03   .9967196  .0802566 -.0104383
T  180  9 .8236060E+07   2147147E-02  .1762E+04 -.2278E+02   .9973460  .0727971 -.0012438
