============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(500 keV) ==> Layer 1(  271 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  205  2 .4705442E+06   2720614E-04  .4826E+03  .4293E+01   .4797267  .8772836  .0153562
T  206  2 .4626602E+06   2724476E-04  .5162E+03 -.2216E+01   .4392556  .8983621 -.0001788
T  207  2 .4718453E+06   2713437E-04  .4645E+03  .1127E+02   .5165750  .8521675  .0834317
T  208  2 .4650115E+06   2711091E-04  .4390E+03 -.2237E+01   .5753239  .8178367 -.0120618
T  209  2 .4524937E+06   2722859E-04  .4986E+03  .3371E+01   .4433199  .8958895 -.0291465
T  210  2 .4664498E+06   2712792E-04  .4215E+03 -.1595E+02   .5694417  .8196104 -.0630477
T  211  2 .4623973E+06   2712157E-04  .4886E+03 -.8520E+00   .4588555  .8881572 -.0250675
T  212  2 .4664447E+06   2718935E-04  .4667E+03  .4636E-01   .5415958  .8390592  .0515132
T  213  2 .4645993E+06   2722531E-04  .4762E+03 -.1710E+02   .4908375  .8693590 -.0573881
T  214  2 .4531168E+06   2733884E-04  .5395E+03 -.3076E+01   .4414156  .8973027  .0003525
T  215  2 .4551302E+06   2713243E-04  .5033E+03 -.2101E+02   .4533905  .8899214 -.0497683
T  216  2 .4738235E+06   2716008E-04  .4992E+03  .1803E+02   .4625049  .8858091  .0378347
T  217  2 .4589733E+06   2728426E-04  .4824E+03  .4543E+01   .4789746  .8775113  .0236053
T  218  2 .4676165E+06   2721317E-04  .4678E+03 -.5932E+01   .5036425  .8638205 -.0125861
