============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  170  1 .4774691E+06   1856118E-03  .1575E+03 -.1622E+02   .9952137  .0920924 -.0326903
T  171  1 .4734151E+06   1850932E-03  .1753E+03  .2457E+02   .9866689  .1191960  .1108010
T  172  1 .4600541E+06   1846167E-03  .1982E+03  .1386E+03   .9759504  .1294931  .1753634
T  173  1 .4719231E+06   1847103E-03  .1964E+03 -.2774E+02   .9906222  .1076835 -.0840948
T  174  1 .4765022E+06   1854390E-03  .8863E+02  .5310E+02   .9956940 -.0025726  .0926653
T  175  1 .4706300E+06   1849174E-03  .9046E+02 -.5024E+02   .9982880  .0548435 -.0203309
T  176  1 .4706370E+06   1852003E-03  .1985E+03 -.1462E+02   .9856180  .1689815  .0015555
T  177  1 .4630759E+06   1851006E-03  .1354E+03 -.5780E+02   .9959140  .0611785 -.0664267
T  178  1 .4606554E+06   1859297E-03  .1680E+03 -.2237E+02   .9933306  .0999373 -.0575059
T  179  1 .4614112E+06   1853090E-03  .8430E+02  .3045E+02   .9986026  .0294092  .0439093
T  180  1 .4677212E+06   1849292E-03  .1804E+03 -.8095E+02   .9882936  .1148328 -.1004453
T  181  1 .4628000E+06   1848019E-03  .1838E+03  .3255E+02   .9931918  .0903488  .0735328
T  182  1 .4765773E+06   1846575E-03  .1385E+03 -.2043E+02   .9969119  .0782879 -.0061328
T  183  1 .4655503E+06   1849439E-03  .2343E+03  .3797E+02   .9862400  .1525892  .0636173
T  184  1 .4765156E+06   1859511E-03  .1664E+03 -.1068E+02   .9939072  .1044507 -.0351939
T  185  1 .4647996E+06   1853911E-03  .1032E+03  .2688E+02   .9970650  .0713255  .0278224
T  186  1 .4777440E+06   1848750E-03  .1861E+03  .2961E+02   .9901574  .1398489  .0055256
T  187  1 .4697906E+06   1847836E-03  .1504E+03 -.2119E+02   .9987197  .0489738 -.0126738
T  188  1 .4723969E+06   1849693E-03  .1869E+03 -.4868E+02   .9975894  .0662433  .0206705
T  189  1 .4781531E+06   1851060E-03  .1653E+03 -.4283E+02   .9913998  .1307468 -.0056252
T  190  1 .4626878E+06   1860279E-03  .1763E+03 -.3073E+02   .9786510  .1724782  .1117740
T  191  1 .4723878E+06   1853610E-03  .1495E+03  .6174E+02   .9898708  .1023510  .0983874
T  192  1 .4676977E+06   1858229E-03  .1531E+03  .3005E+01   .9988926  .0437163  .0173901
T  193  1 .4691198E+06   1850294E-03  .1499E+03 -.3499E+02   .9971400  .0739647 -.0155278
T  194  1 .4641559E+06   1850460E-03  .2618E+03  .7863E+02   .9783588  .1864975  .0896257
T  195  1 .4562591E+06   1849398E-03  .1363E+03 -.4110E+02   .9968181  .0766762 -.0217801
T  196  1 .4702911E+06   1851267E-03  .1618E+03 -.1105E+02   .9969141  .0710870 -.0333015
T  197  1 .4675733E+06   1852720E-03  .2444E+03  .1972E+01   .9831073  .1819899 -.0194846
T  198  1 .4725847E+06   1856184E-03  .1312E+03 -.2988E+02   .9981500  .0545847 -.0267791
T  199  1 .4603458E+06   1854837E-03 -.7426E+03  .7075E+03   .8595760 -.3890082  .3313635
T  200  1 .4675664E+06   1850089E-03  .2199E+03  .1272E+02   .9876360  .1552287 -.0218911
T  201  1 .4774450E+06   1851378E-03  .1356E+03  .2837E+02   .9972610  .0460805  .0578533
T  202  1 .4639082E+06   1853073E-03 -.1422E+03  .2684E+02   .9880640 -.1371921 -.0700556
T  203  1 .4603624E+06   1857845E-03  .1563E+03 -.4514E+01   .9952072  .0951455 -.0225801
T  204  1 .4708649E+06   1846271E-03  .1394E+03 -.1176E+02   .9981905  .0484599 -.0356004
T  205  1 .4738819E+06   1850873E-03  .1555E+03 -.6744E+01   .9984068  .0535556 -.0177668
T  206  1 .4707094E+06   1860324E-03  .1320E+03 -.2244E+02   .9978122 -.0091504  .0654760
T  207  1 .4643925E+06   1849231E-03  .2154E+03 -.1891E+02   .9845737  .1749702 -.0000002
T  208  1 .4634525E+06   1847860E-03  .1461E+03 -.2697E+02   .9907036  .1351286 -.0157040
T  209  1 .4731836E+06   1847245E-03 -.3563E+01 -.7836E+02   .9719891 -.1753750 -.1564633
